user_name,list_name,list_type
john.smith,Anime Extravaganza,anime
john.smith,Top Action Movies,movies
john.smith,Chill Beats,songs
emily.johnson,Fantasy Adventures,anime
michael.williams,Retro Games,videogames
michael.williams,Classic Rock,songs
emma.brown,Drama Series,movies
joshua.jones,Top RPG Games,videogames
joshua.jones,Pop Hits,songs
joshua.jones,Must-Watch Anime,anime
joshua.jones,Blockbuster Movies,movies
madison.davis,Top Anime Series,anime
madison.davis,Greatest Hits,songs
daniel.miller,Indie Games,videogames
daniel.miller,Sci-Fi Movies,movies
daniel.miller,Top Anime Picks,anime
daniel.miller,Old School Hits,songs
olivia.wilson,Thriller Movies,movies
olivia.wilson,Anime Must-Watch,anime
james.moore,Best Anime,anime
james.moore,Hit Songs,songs
ava.taylor,Favorite Movies,movies
ethan.anderson,Top Songs,songs
sophia.thomas,Anime Favorites,anime
sophia.thomas,Classic Movies,movies
alexander.jackson,Top Games,videogames
alexander.jackson,Movie Marathon,movies
isabella.white,Pop Culture Songs,songs
mason.harris,Favorite Games,videogames
mia.martin,Movie Night,movies
mia.martin,Anime Night,anime
william.thompson,Top Hits,songs
amelia.garcia,Great Movies,movies
benjamin.martinez,Anime Adventures,anime
chloe.robinson,Favorite Songs,songs
elijah.clark,Top Movies,movies
charlotte.rodriguez,Game Time,videogames
carter.lewis,Anime Collection,anime
carter.lewis,Favorite Movies,movies
grace.lee,Best Songs,songs
henry.walker,Top Anime,anime
henry.walker,Favorite Movies,movies
avery.hall,Classic Hits,songs
scarlett.young,Top Games,videogames
sebastian.allen,Anime Picks,anime
lily.hernandez,Must-See Movies,movies
gabriel.king,Great Songs,songs
zoe.scott,Anime Binge,anime
jackson.green,Movie Favorites,movies
madelyn.adams,Best Anime,anime
nathan.baker,Retro Hits,songs
hannah.gonzalez,Top Movies,movies
david.carter,Favorite Games,videogames
addison.perez,Anime Favs,anime
joseph.evans,Classic Movies,movies
aria.stewart,Top Songs,songs
jameson.flores,Game Night,videogames
aubrey.collins,Anime Hits,anime
wyatt.nguyen,Favorite Movies,movies
ella.hill,Best Songs,songs
julian.rivera,Top Anime,anime
samantha.campbell,Movie Picks,movies
luke.mitchell,Favorite Games,videogames
anna.perez,Anime Picks,anime
lincoln.roberts,Top Hits,songs
ariana.turner,Movie Classics,movies
oliver.phillips,Anime Night,anime
brooklyn.sanchez,Game Collection,videogames
colton.long,Favorite Songs,songs
ethan.parker,Top Movies,movies
mia.collins,Anime Collection,anime
lucas.martinez,Best Games,videogames
isabelle.nelson,Favorite Songs,songs
ryan.cooper,Top Movies,movies
emily.ward,Anime Picks,anime
mason.roberts,Top Hits,songs
amelia.reed,Favorite Movies,movies
jack.howard,Anime Extravaganza,anime
natalie.king,Game Night,videogames
jacob.richards,Top Songs,songs
mia.myers,Classic Movies,movies
ethan.morris,Anime Binge,anime
aubrey.wood,Retro Hits,songs
samuel.russell,Favorite Games,videogames
isabella.watson,Top Anime,anime
chloe.sullivan,Movie Marathon,movies
james.cooper,Anime Adventures,anime
olivia.peterson,Top Hits,songs
liam.ross,Favorite Movies,movies
ava.hughes,Game Picks,videogames
sophia.wood,Best Anime,anime
logan.jenkins,Classic Songs,songs
zoey.bailey,Top Movies,movies
nathan.lee,Anime Night,anime
william.harris,Favorite Hits,songs
ava.cooper,Top Games,videogames
daniel.ramirez,Best Anime,anime
ella.nelson,Movie Favorites,movies
dylan.mitchell,Top Hits,songs
grace.jenkins,Anime Picks,anime
jacob.carter,Classic Movies,movies
isabella.phillips,Great Songs,songs
ava.brooks,Top Anime,anime
oliver.cooper,Favorite Games,videogames
mia.hughes,Movie Marathon,movies
lucas.roberts,Anime Night,anime
amelia.cook,Top Songs,songs
ethan.foster,Favorite Movies,movies
ava.richards,Best Anime,anime
emma.perry,Retro Hits,songs
liam.jenkins,Top Movies,movies
olivia.bailey,Anime Collection,anime
noah.kelly,Best Hits,songs
isabella.ward,Movie Favorites,movies
jacob.ross,Anime Picks,anime
mia.phillips,Top Songs,songs
ethan.murphy,Favorite Movies,movies
ava.nelson,Game Night,videogames
oliver.watson,Anime Adventures,anime
emma.sullivan,Top Hits,songs
liam.watson,Classic Movies,movies
olivia.cooper,Anime Night,anime
noah.parker,Favorite Songs,songs
jacob.bailey,Top Movies,movies
ethan.ramirez,Best Anime,anime
